date,day,eventfromtime,dayname,entry,shoppingtime
05/03/2023,Sun,23:00:00,Sun,84,121.31
06/03/2023,Mon,0:00:00,Mon,41,0
06/03/2023,Mon,1:00:00,Mon,3,0
06/03/2023,Mon,2:00:00,Mon,3,0
06/03/2023,Mon,3:00:00,Mon,4,0
06/03/2023,Mon,4:00:00,Mon,8,0
06/03/2023,Mon,5:00:00,Mon,5,0
06/03/2023,Mon,6:00:00,Mon,13,0
06/03/2023,Mon,7:00:00,Mon,140,8.12
06/03/2023,Mon,8:00:00,Mon,457,20.25
06/03/2023,Mon,9:00:00,Mon,901,30.12
06/03/2023,Mon,10:00:00,Mon,1638,39.48
06/03/2023,Mon,11:00:00,Mon,1941,51.13
06/03/2023,Mon,12:00:00,Mon,1911,65.54
06/03/2023,Mon,13:00:00,Mon,2056,74.08
06/03/2023,Mon,14:00:00,Mon,1741,81.56
06/03/2023,Mon,15:00:00,Mon,1656,83.58
06/03/2023,Mon,16:00:00,Mon,1744,81.69
06/03/2023,Mon,17:00:00,Mon,1671,78.94
06/03/2023,Mon,18:00:00,Mon,1596,79.38
06/03/2023,Mon,19:00:00,Mon,1333,81.47
06/03/2023,Mon,20:00:00,Mon,1000,86.71
06/03/2023,Mon,21:00:00,Mon,746,90.45
06/03/2023,Mon,22:00:00,Mon,216,100.22
06/03/2023,Mon,23:00:00,Mon,90,104.89
07/03/2023,Tue,0:00:00,Tue,69,0
07/03/2023,Tue,1:00:00,Tue,30,0
07/03/2023,Tue,2:00:00,Tue,40,0
07/03/2023,Tue,3:00:00,Tue,7,0
07/03/2023,Tue,4:00:00,Tue,6,0
07/03/2023,Tue,5:00:00,Tue,15,0
07/03/2023,Tue,6:00:00,Tue,12,0
07/03/2023,Tue,7:00:00,Tue,63,88.69
07/03/2023,Tue,8:00:00,Tue,418,13.52
07/03/2023,Tue,9:00:00,Tue,1023,25.13
07/03/2023,Tue,10:00:00,Tue,1599,37.01
07/03/2023,Tue,11:00:00,Tue,1778,49.63
07/03/2023,Tue,12:00:00,Tue,1847,62.99
07/03/2023,Tue,13:00:00,Tue,1950,71.01
07/03/2023,Tue,14:00:00,Tue,1912,77.37
07/03/2023,Tue,15:00:00,Tue,1771,82.98
07/03/2023,Tue,16:00:00,Tue,1803,85.43
07/03/2023,Tue,17:00:00,Tue,1679,86.49
07/03/2023,Tue,18:00:00,Tue,1930,85.19
07/03/2023,Tue,19:00:00,Tue,1639,82.88
07/03/2023,Tue,20:00:00,Tue,973,95.01
07/03/2023,Tue,21:00:00,Tue,733,104.38
07/03/2023,Tue,22:00:00,Tue,320,103.67
07/03/2023,Tue,23:00:00,Tue,141,99.79
08/03/2023,Wed,0:00:00,Wed,99,0
08/03/2023,Wed,1:00:00,Wed,25,0
08/03/2023,Wed,2:00:00,Wed,36,0
08/03/2023,Wed,3:00:00,Wed,3,0
08/03/2023,Wed,4:00:00,Wed,6,0
08/03/2023,Wed,5:00:00,Wed,9,0
08/03/2023,Wed,6:00:00,Wed,32,0
08/03/2023,Wed,7:00:00,Wed,55,82.58
08/03/2023,Wed,8:00:00,Wed,423,11.67
08/03/2023,Wed,9:00:00,Wed,888,24.15
08/03/2023,Wed,10:00:00,Wed,1860,35.79
08/03/2023,Wed,11:00:00,Wed,1885,49.67
08/03/2023,Wed,12:00:00,Wed,2111,66.54
08/03/2023,Wed,13:00:00,Wed,1957,77.64
08/03/2023,Wed,14:00:00,Wed,2076,80.69
08/03/2023,Wed,15:00:00,Wed,1636,85.39
08/03/2023,Wed,16:00:00,Wed,1976,83.24
08/03/2023,Wed,17:00:00,Wed,1943,79.1
08/03/2023,Wed,18:00:00,Wed,1997,76.76
08/03/2023,Wed,19:00:00,Wed,1754,74.01
